word,allcount,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,,全ての章で使っているか
出現単語数,1996,290,285,284,228,299,399,377,206,484,349,633,176,227,,24
総単語数,10491,603,581,661,464,644,1057,865,410,1185,957,1811,521,718,,
the,696,35,38,61,37,38,74,62,25,71,60,99,40,56,,TRUE
of,358,19,26,20,25,30,22,39,19,30,20,56,15,37,,TRUE
to,352,20,16,29,19,20,41,26,14,40,31,54,20,22,,TRUE
and,289,19,18,13,9,18,26,32,7,33,30,53,8,23,,TRUE
is,263,17,11,20,19,14,20,23,3,30,29,42,19,16,,TRUE
a,207,8,12,10,12,21,9,17,5,29,21,40,11,12,,TRUE
in,197,11,11,15,9,12,23,16,12,27,15,27,9,10,,TRUE
be,182,12,17,6,0,11,27,14,13,17,13,25,8,19,,FALSE
enemy,126,2,6,12,7,4,22,11,1,17,15,16,4,9,,TRUE
will,121,5,12,14,0,5,18,10,4,12,12,23,0,6,,FALSE
are,108,9,3,5,0,5,10,6,4,21,19,15,5,6,,FALSE
it,101,5,4,7,6,8,4,10,0,16,5,22,5,9,,TRUE
not,99,4,3,7,3,5,9,8,13,10,13,15,9,0,,FALSE
if,96,5,3,12,1,2,14,4,2,19,17,10,6,1,,TRUE
his,95,3,2,7,3,4,19,5,9,7,7,20,6,3,,FALSE
you,93,1,4,6,1,1,14,12,2,13,17,18,4,0,,FALSE
on,87,4,6,0,3,6,3,6,6,11,2,34,0,6,,FALSE
your,81,2,7,1,0,4,6,12,1,10,12,21,4,1,,FALSE
that,80,5,4,3,3,3,8,6,2,18,8,12,3,5,,TRUE
he,80,7,0,9,3,4,19,3,2,7,5,20,0,1,,FALSE
when,77,6,4,3,1,2,0,7,2,16,9,21,5,1,,FALSE
by,72,6,2,9,2,5,5,4,2,7,4,18,3,5,,TRUE
army,72,4,5,12,1,2,3,14,2,8,3,12,2,4,,TRUE
with,69,3,6,3,1,4,3,6,3,10,7,12,7,4,,TRUE
ground,68,1,0,0,0,1,2,0,0,4,8,52,0,0,,FALSE
for,68,2,3,2,6,3,9,4,2,11,5,7,7,7,,TRUE
we,66,7,1,4,2,0,15,7,4,6,8,9,1,2,,FALSE
an,63,0,4,4,3,3,3,14,2,5,3,8,11,3,,FALSE
which,51,8,0,2,1,3,6,1,11,4,4,9,0,2,,FALSE
from,51,1,5,2,1,2,9,4,2,5,6,6,3,5,,TRUE
can,50,3,1,5,0,4,17,1,1,2,4,5,2,5,,FALSE
may,45,2,2,2,1,7,8,4,4,2,4,5,3,1,,TRUE
but,45,1,1,2,3,3,4,1,2,5,12,6,5,0,,FALSE
men,44,1,3,2,0,5,1,4,2,6,4,11,0,5,,FALSE
who,42,5,2,4,4,2,1,2,3,2,5,3,3,6,,TRUE
must,40,5,3,1,0,0,4,2,7,3,6,4,2,3,,FALSE
them,39,4,1,2,0,1,3,0,5,5,7,6,0,5,,FALSE
attack,38,2,0,3,1,2,6,1,0,4,7,3,9,0,,FALSE
they,37,1,1,0,0,3,0,0,0,7,3,19,0,3,,FALSE
general,37,5,1,2,1,0,1,2,5,2,7,4,4,3,,FALSE
there,37,1,3,2,0,5,3,1,2,5,2,7,4,2,,FALSE
one,36,5,5,2,4,2,2,2,0,1,3,5,2,3,,TRUE
him,35,8,0,3,1,2,8,3,2,0,6,2,0,0,,FALSE
its,35,1,2,1,1,2,3,8,1,4,1,9,1,1,,TRUE
victory,35,3,2,3,7,1,6,0,0,2,8,1,0,2,,FALSE
at,35,2,3,1,0,3,4,2,0,4,4,7,3,2,,FALSE
their,34,2,4,2,0,2,1,1,0,5,2,12,1,2,,FALSE
this,33,2,2,5,0,2,0,6,1,2,3,5,1,4,,FALSE
without,32,0,0,6,1,1,1,4,0,2,3,8,3,3,,FALSE
no,30,3,2,0,5,1,2,0,0,4,1,6,2,4,,FALSE
thus,30,1,3,3,4,2,2,3,0,1,1,7,0,3,,FALSE
our,29,1,2,2,1,0,6,1,4,2,4,2,0,4,,FALSE
do,29,1,0,0,1,0,4,5,2,5,3,5,3,0,,FALSE
or,28,3,2,2,0,3,3,3,0,5,2,3,1,1,,FALSE
should,28,2,3,0,0,0,4,0,0,8,3,2,4,2,,FALSE
all,28,3,0,5,0,2,3,1,0,3,0,7,2,2,,FALSE
hence,27,2,1,3,3,1,3,2,1,0,2,2,3,4,,FALSE
into,27,1,0,2,2,0,1,5,0,1,2,11,2,0,,FALSE
soldiers,27,0,2,1,0,0,1,1,0,8,5,7,2,0,,FALSE
fight,27,0,0,4,1,0,6,0,1,4,4,5,2,0,,FALSE
as,26,1,2,2,1,5,3,2,0,1,2,3,2,2,,TRUE
has,25,1,1,1,1,0,3,2,0,2,5,7,2,0,,FALSE
make,24,2,0,0,1,0,4,4,3,1,2,4,2,1,,FALSE
out,24,1,0,0,0,2,7,1,1,3,1,2,4,2,,FALSE
spies,24,0,0,0,0,0,1,0,0,1,0,0,0,22,,FALSE
then,23,1,3,0,1,1,3,2,0,2,6,4,0,0,,FALSE
war,22,2,6,3,1,0,1,2,5,0,0,2,0,0,,FALSE
have,22,0,4,0,2,0,3,0,1,5,3,2,1,1,,FALSE
country,22,0,1,1,0,0,1,1,3,4,2,8,1,0,,FALSE
battle,21,3,0,2,1,3,3,1,0,3,2,2,1,0,,FALSE
five,20,2,0,2,0,4,1,0,4,0,0,1,3,3,,FALSE
these,20,4,0,0,0,2,1,0,3,2,4,1,1,2,,FALSE
so,20,1,0,2,0,1,6,0,1,5,0,3,0,1,,FALSE
